episode,episode_reward,avg_reward,epsilon,sim_seconds,total_departed,avg_departed_per_sec,switch_count,average_queue,average_wait,average_imbalance,cumulative_queue,cumulative_wait,final_total_queue,final_total_wait
193,-10374.02,-34.5801,0.6928,7200,8602,1.1947,187,6.1113,32.7410,5.1360,44001.00,235735.00,11,77
194,-9830.98,-32.7699,0.6913,7200,8429,1.1707,192,5.8032,31.0156,4.9354,41783.00,223312.00,8,50
195,-10375.42,-34.5847,0.6897,7200,8730,1.2125,175,6.1168,32.7682,5.1221,44041.00,235931.00,7,49
196,-10234.38,-34.1146,0.6881,7200,8648,1.2011,202,6.0213,32.2933,5.0779,43353.00,232512.00,10,64
197,-10118.35,-33.7278,0.6865,7200,8599,1.1943,198,5.9442,31.9329,5.0261,42798.00,229917.00,8,60
198,-10110.29,-33.7010,0.6849,7200,8656,1.2022,181,5.9786,31.9182,5.0358,43046.00,229811.00,12,94
199,-9899.14,-32.9971,0.6833,7200,8611,1.1960,198,5.8739,31.2292,4.9658,42292.00,224850.00,7,35
200,-10354.77,-34.5159,0.6818,7200,8764,1.2172,193,6.0963,32.6917,5.1029,43893.00,235380.00,15,112
201,-9909.27,-33.0309,0.6802,7200,8507,1.1815,201,5.8290,31.2700,4.9243,41969.00,225144.00,10,65
202,-10244.90,-34.1497,0.6786,7200,8735,1.2132,187,6.0594,32.3356,5.1092,43628.00,232816.00,11,66
203,-10190.26,-33.9675,0.6770,7200,8643,1.2004,205,5.9833,32.1568,5.0464,43080.00,231529.00,8,68
204,-10293.29,-34.3110,0.6754,7200,8572,1.1906,197,6.0597,32.4729,5.1219,43630.00,233805.00,12,81
205,-10353.93,-34.5131,0.6738,7200,8607,1.1954,197,6.0560,32.6882,5.0721,43603.00,235355.00,7,42
206,-10194.34,-33.9811,0.6723,7200,8538,1.1858,193,5.9857,32.1728,5.0557,43097.00,231644.00,10,67
207,-10067.60,-33.5587,0.6707,7200,8589,1.1929,202,5.9469,31.7619,5.0089,42818.00,228686.00,8,42
208,-10351.78,-34.5059,0.6691,7200,8620,1.1972,193,6.0503,32.6836,5.0894,43562.00,235322.00,9,59
209,-10167.67,-33.8922,0.6675,7200,8582,1.1919,189,6.0056,32.0925,5.0281,43240.00,231066.00,9,61
210,-10181.11,-33.9370,0.6659,7200,8756,1.2161,195,6.0215,32.1399,5.0296,43355.00,231407.00,5,20
211,-10266.40,-34.2213,0.6643,7200,8691,1.2071,214,6.0604,32.3829,5.0793,43635.00,233157.00,10,72
212,-10377.24,-34.5908,0.6627,7200,8734,1.2131,190,6.1293,32.7492,5.1615,44131.00,235794.00,10,92
213,-10211.18,-34.0373,0.6612,7200,8666,1.2036,209,5.9956,32.2204,5.0528,43168.00,231987.00,12,100
214,-10463.54,-34.8785,0.6596,7200,8730,1.2125,198,6.1631,33.0175,5.1831,44374.00,237726.00,9,45
215,-10425.62,-34.7521,0.6580,7200,8689,1.2068,186,6.0917,32.9299,5.1064,43860.00,237095.00,13,96
216,-10049.07,-33.4969,0.6564,7200,8548,1.1872,183,5.9328,31.7196,5.0069,42716.00,228381.00,7,42
217,-10341.16,-34.4705,0.6548,7200,8728,1.2122,186,6.0768,32.6557,5.0979,43753.00,235121.00,10,46
218,-10070.87,-33.5696,0.6532,7200,8684,1.2061,200,5.9406,31.7794,5.0253,42772.00,228812.00,7,36
219,-10305.25,-34.3508,0.6517,7200,8701,1.2085,186,6.0636,32.5325,5.1192,43658.00,234234.00,11,91
